rrf_k,protect_top,city,variant,recall,ndcg,valid_recall,valid_ndcg
35.0,4,NYC,q20_sum,0.16702946533591978,0.0890135356397176,0.9044020649849014,0.535245130043888
35.0,4,NYC,q25_sum,0.16702946533591978,0.088964907304977,0.9044020649849014,0.5350573533303838
35.0,4,NYC,q30_50_20_sum,0.16702946533591978,0.0890135356397176,0.9044020649849014,0.535245130043888
35.0,4,NYC,q25_alpha_transfer_tuned,0.16765838896172167,0.08928502334214032,0.9097892167921093,0.5377040619838569
35.0,4,NYC,q25_valid_r_plus_2n,0.16702946533591978,0.08902490340712942,0.903944598547286,0.5353644314004762
35.0,5,NYC,q30_sum,0.16702946533591978,0.08902259335721396,0.903944598547286,0.534339826927829
35.0,5,NYC,q20_sum,0.16702946533591978,0.08908630650216451,0.9044020649849014,0.5342761180528579
35.0,5,NYC,q25_sum,0.16702946533591978,0.08897395356047767,0.9044020649849014,0.5340968746547586
35.0,5,NYC,q30_50_20_sum,0.16702946533591978,0.08908630650216451,0.9044020649849014,0.5342761180528579
35.0,5,NYC,q25_alpha_transfer_tuned,0.16269560980539408,0.08802612722907593,0.9097892167921093,0.5366972686236524
35.0,5,NYC,q25_valid_r_plus_2n,0.16702946533591978,0.08902259335721396,0.903944598547286,0.534339826927829
35.0,6,NYC,q30_sum,0.16702946533591978,0.08891271083962038,0.9044020649849014,0.5334711852394701
35.0,6,NYC,q20_sum,0.16702946533591978,0.088920546184512,0.9044020649849014,0.5338615747346093
35.0,6,NYC,q25_sum,0.16702946533591978,0.08891964874109026,0.9044020649849014,0.5337094108234905
35.0,6,NYC,q30_50_20_sum,0.16702946533591978,0.088920546184512,0.9044020649849014,0.5338615747346093
35.0,6,NYC,q25_alpha_transfer_tuned,0.16269560980539408,0.08789048726869361,0.9097892167921093,0.5360320112387185
35.0,6,NYC,q25_valid_r_plus_2n,0.16702946533591978,0.08891964874109026,0.9044020649849014,0.5337094108234905
35.0,4,Singapore,q30_sum,0.4665487574570703,0.2460141810654535,0.8266909524573995,0.48529629155917353
35.0,4,Singapore,q20_sum,0.4642221923132463,0.24551029791673287,0.8266909524573995,0.4847075792919493
35.0,4,Singapore,q25_sum,0.46591423969057283,0.2459412356851747,0.8266909524573995,0.4848322066919137
35.0,4,Singapore,q30_50_20_sum,0.4642221923132463,0.24551029791673287,0.8266909524573995,0.4847075792919493
35.0,4,Singapore,q25_alpha_transfer_tuned,0.45944215847229875,0.24471392528918642,0.8338821538110376,0.4866991942770304
35.0,4,Singapore,q25_valid_r_plus_2n,0.46591423969057283,0.2459412356851747,0.8266909524573995,0.4848322066919137
35.0,5,Singapore,q30_sum,0.4665487574570703,0.24535785631644616,0.8266909524573995,0.48471644616538956
35.0,5,Singapore,q20_sum,0.4642221923132463,0.24481549786532003,0.8266909524573995,0.4843380282485005
35.0,5,Singapore,q25_sum,0.46591423969057283,0.24526771808687017,0.8266909524573995,0.4845459432504466
35.0,5,Singapore,q30_50_20_sum,0.4642221923132463,0.24481549786532003,0.8266909524573995,0.4843380282485005
35.0,5,Singapore,q25_alpha_transfer_tuned,0.45944215847229875,0.2442036644936125,0.8338821538110376,0.4867898818574682
35.0,5,Singapore,q25_valid_r_plus_2n,0.46591423969057283,0.24526771808687017,0.8266909524573995,0.4845459432504466
35.0,6,Singapore,q30_sum,0.4665487574570703,0.24483561005801782,0.8266909524573995,0.4844914752521112
35.0,6,Singapore,q20_sum,0.4642221923132463,0.24424211738609952,0.8266909524573995,0.48425738868130497
35.0,6,Singapore,q25_sum,0.46591423969057283,0.24474547182844178,0.8266909524573995,0.4844892673815482
35.0,6,Singapore,q30_50_20_sum,0.4642221923132463,0.24424211738609952,0.8266909524573995,0.48425738868130497
35.0,6,Singapore,q25_alpha_transfer_tuned,0.45944215847229875,0.24346387939909472,0.8338821538110376,0.48659685522250906
35.0,6,Singapore,q25_valid_r_plus_2n,0.46591423969057283,0.24474547182844178,0.8266909524573995,0.4844892673815482
35.0,4,Tokyo,q30_sum,0.12962462074951855,0.07543667236961744,0.7861535607041107,0.4523639160010791
35.0,4,Tokyo,q20_sum,0.1294797524944141,0.07527448965780731,0.7870604722697153,0.45263651301635166
35.0,4,Tokyo,q25_sum,0.12942370617852525,0.0752850142630314,0.7864250116909497,0.452409411843131
35.0,4,Tokyo,q30_50_20_sum,0.1294797524944141,0.07527448965780731,0.7870604722697153,0.45263651301635166
35.0,4,Tokyo,q25_alpha_transfer_tuned,0.13131190983838245,0.07606946032218871,0.7940787064245319,0.4548505401942668
